COUNTRY,INDICATOR,SUBJECT,MEASURE,FREQUENCY,YEAR,SCORE
USA,PISASCIENCE,GIRL,MEANSCORE,A,2012,498.325
AUS,PISASCIENCE,TOT,MEANSCORE,A,2012,521.0
MEX,PISASCIENCE,TOT,MEANSCORE,A,2012,415.0
LUX,PISASCIENCE,TOT,MEANSCORE,A,2012,491.0
KOR,PISASCIENCE,TOT,MEANSCORE,A,2012,538.0
USA,PISASCIENCE,BOY,MEANSCORE,A,2012,496.529
KOR,PISASCIENCE,GIRL,MEANSCORE,A,2012,535.93
LUX,PISASCIENCE,BOY,MEANSCORE,A,2012,498.715
LUX,PISASCIENCE,GIRL,MEANSCORE,A,2012,483.484
MEX,PISASCIENCE,BOY,MEANSCORE,A,2012,418.128
AUS,PISASCIENCE,BOY,MEANSCORE,A,2012,523.728
MEX,PISASCIENCE,GIRL,MEANSCORE,A,2012,411.836
AUS,PISASCIENCE,GIRL,MEANSCORE,A,2012,519.124
USA,PISASCIENCE,TOT,MEANSCORE,A,2012,497.0
TUR,PISASCIENCE,BOY,MEANSCORE,A,2012,458.316
TUR,PISASCIENCE,GIRL,MEANSCORE,A,2012,468.622
KOR,PISASCIENCE,BOY,MEANSCORE,A,2012,539.408
TUR,PISASCIENCE,TOT,MEANSCORE,A,2012,463.0
TUR,PISASCIENCE,TOT,MEANSCORE,A,2015,425.0
MEX,PISASCIENCE,TOT,MEANSCORE,A,2015,416.0
